width,height,majority_pct,density,alpha,beta,decay,vision,aversion,iteration,step_count,Avg_Maj_Grievance,Avg_Min_Grievance,Avg_Maj_Threshold,Overall_Violence_Level
80,80,0.7,0.7,0.05,0.013,0.5,1,0.3,0,50,0.0,0.0,0.7845800568881172,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.5,2,50,0.0,0.0,0.7819518803876335,9.39334637964775e-05
80,80,0.7,0.7,0.05,0.013,0.5,1,0.4,1,50,0.0,0.0,0.7849389769497217,7.843506361083659e-05
80,80,0.7,0.7,0.05,0.013,0.5,1,0.5,0,50,0.0,0.0,0.7867220112020756,1.5664160401002506e-05
80,80,0.7,0.7,0.05,0.013,0.5,1,0.2,0,50,0.0,0.0,0.783307005339581,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.5,1,50,0.0,0.0,0.7801026236322778,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.2,1,50,0.0,0.0,0.7856575382847643,1.5630372940698364e-05
80,80,0.7,0.7,0.05,0.013,0.5,1,0.3,2,50,0.0,0.0,0.7850354844948995,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.2,2,50,0.0,0.0,0.7849887759947598,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.4,0,50,0.0,0.0,0.7849906469333827,6.257039169065198e-05
80,80,0.7,0.7,0.05,0.013,0.5,1,0.4,2,50,0.0,0.0,0.7839770407874119,1.563966218329684e-05
80,80,0.7,0.7,0.05,0.013,0.5,1,0.0,0,50,0.0,0.0,0.785566650733204,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.1,0,50,0.0,0.0,0.784090250795823,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.0,1,50,0.0,0.0,0.7814414000680876,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.0,2,50,0.0,0.0,0.7849231226505149,1.5628174472939816e-05
80,80,0.7,0.7,0.05,0.013,0.5,1,0.1,2,50,0.0,0.0,0.7855539609637542,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.1,1,50,0.0,0.0,0.7806606755777852,0.0
80,80,0.7,0.7,0.05,0.013,0.5,1,0.3,1,50,0.0,0.0,0.7832327059256342,3.127590035498147e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.3,0,50,0.0,0.0,0.7853071677669992,0.0
80,80,0.7,0.7,0.05,0.013,0.6,1,0.0,2,50,0.0,0.0,0.7810310767413532,0.0
80,80,0.7,0.7,0.05,0.013,0.6,1,0.0,1,50,0.0,0.0,0.7843747971344308,1.5628418716594254e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.1,0,50,0.0,0.0,0.784796496932438,1.5635505104992417e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.2,0,50,0.0,0.0,0.7846858273495022,1.5634038428466457e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.2,2,50,0.0,0.0,0.7857355518931195,1.5644066205688184e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.2,1,50,0.0,0.0,0.7848029377984509,3.1299884190428495e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.0,0,50,0.0,0.0,0.78485327694134,1.5629151493365425e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.1,2,50,0.0,0.0,0.7836918135231897,0.0
80,80,0.7,0.7,0.05,0.013,0.6,1,0.1,1,50,0.0,0.0,0.7835206229926945,0.0
80,80,0.7,0.7,0.05,0.013,0.6,1,0.5,0,50,0.0,0.0,0.7829348195482895,3.14001318805539e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.5,2,50,0.0,0.0,0.7817677714097068,4.69175190015952e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.5,1,50,0.0,0.0,0.7823574385919422,7.826563356030368e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.4,1,50,0.0,0.0,0.7832003266060474,0.0
80,80,0.7,0.7,0.05,0.013,0.6,1,0.3,2,50,0.0,0.0,0.7824164333988342,1.563306079697344e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.3,1,50,0.0,0.0,0.7816880710622357,4.695056105920466e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.4,0,50,0.0,0.0,0.7785790342336384,3.1277367696734645e-05
80,80,0.7,0.7,0.05,0.013,0.6,1,0.4,2,50,0.0,0.0,0.7804005161772253,4.6903581870202155e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.0,0,50,0.0,0.0,0.783303078190163,3.126367785906334e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.0,1,50,0.0,0.0,0.7784996294010257,0.0
80,80,0.7,0.7,0.05,0.013,0.7,1,0.2,1,50,0.0,0.0,0.782295757353265,0.0
80,80,0.7,0.7,0.05,0.013,0.7,1,0.0,2,50,0.0,0.0,0.78591652463229,9.377344336084021e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.1,1,50,0.0,0.0,0.7834626956899617,0.0
80,80,0.7,0.7,0.05,0.013,0.7,1,0.2,2,50,0.0,0.0,0.7795166633395915,1.5631594578963e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.1,0,50,0.0,0.0,0.7806920385131019,1.564210855623338e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.2,0,50,0.0,0.0,0.7844802057348075,1.5641129915225077e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.1,2,50,0.0,0.0,0.7849043522413075,1.5634038428466457e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.3,0,50,0.0,0.0,0.7797444856009221,0.00010948277210378967
80,80,0.7,0.7,0.05,0.013,0.7,1,0.3,1,50,0.0,0.0,0.7859786130892824,3.1264166575479516e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.3,2,50,0.0,0.0,0.782882391141653,3.1279813572311106e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.4,0,50,0.0,0.0,0.7763746663499473,7.837359123469756e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.5,0,50,0.0,0.0,0.7808334703199092,0.0001565582240035069
80,80,0.7,0.7,0.05,0.013,0.7,1,0.4,1,50,0.0,0.0,0.7823234881487957,4.694247981473368e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.4,2,50,0.0,0.0,0.7817086271929176,1.5642842617360428e-05
80,80,0.7,0.7,0.05,0.013,0.7,1,0.5,2,50,0.0,0.0,0.7851289777794791,0.0001408891671884784
80,80,0.7,0.7,0.05,0.013,0.7,1,0.5,1,50,0.0,0.0,0.7820950573111275,7.820687281998342e-05
80,80,0.7,0.7,0.05,0.013,0.5,10,0.3,0,50,0.0,0.0,0.7831869857689048,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.0,1,50,0.0,0.0,0.7831242619253052,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.5,0,50,0.0,0.0,0.7869771330358138,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.2,0,50,0.0,0.0,0.7855415564317161,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.1,0,50,0.0,0.0,0.7821481890455697,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.4,2,50,0.0,0.0,0.7875363582360038,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.2,2,50,0.0,0.0,0.7849817660120791,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.0,0,50,0.0,0.0,0.7849637589973064,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.4,1,50,0.0,0.0,0.7876257959564275,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.4,0,50,0.0,0.0,0.7853803037233501,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.2,1,50,0.0,0.0,0.7826856894634426,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.1,2,50,0.0,0.0,0.784761869842657,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.1,1,50,0.0,0.0,0.7840095621895717,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.3,1,50,0.0,0.0,0.786952703540961,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.5,1,50,0.0,0.0,0.7873317102426897,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.3,2,50,0.0,0.0,0.7848139920402415,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.5,2,50,0.0,0.0,0.7839337714680739,0.0
80,80,0.7,0.7,0.05,0.013,0.5,10,0.0,2,50,0.0,0.0,0.7857063207807289,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.3,2,50,0.0,0.0,0.7844072847067525,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.1,1,50,0.0,0.0,0.7819549954535463,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.0,0,50,0.0,0.0,0.7852841415121525,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.1,0,50,0.0,0.0,0.7830277041256898,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.0,2,50,0.0,0.0,0.7855247515826175,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.1,2,50,0.0,0.0,0.7809692887579346,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.4,2,50,0.0,0.0,0.7839367216605648,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.4,0,50,0.0,0.0,0.7860319533392999,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.4,1,50,0.0,0.0,0.7861236309102541,0.0
80,80,0.7,0.7,0.05,0.013,0.8,1,0.0,0,50,0.0,0.0,0.7805390057534434,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.5,2,50,0.0,0.0,0.7823353521970501,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.5,0,50,0.0,0.0,0.7830513722359654,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.5,1,50,0.0,0.0,0.7851250471674024,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.3,1,50,0.0,0.0,0.7832162175151018,0.0
80,80,0.7,0.7,0.05,0.013,0.8,1,0.0,1,50,0.0,0.0,0.7811643490989764,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.0,1,50,0.0,0.0,0.7831558802713308,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.3,0,50,0.0,0.0,0.7830830649422921,0.0
80,80,0.7,0.7,0.05,0.013,0.6,10,0.2,0,50,0.0,0.0,0.7823576326327437,0.0
80,80,0.7,0.7,0.05,0.013,0.8,1,0.0,2,50,0.0,0.0,0.7841544998301037,3.126514405415123e-05
80,80,0.7,0.7,0.05,0.013,0.8,1,0.1,0,50,0.0,0.0,0.7852244503164792,1.563183892953167e-05
80,80,0.7,0.7,0.05,0.013,0.8,1,0.1,1,50,0.0,0.0,0.7838287744774953,3.126612159394688e-05
80,80,0.7,0.7,0.05,0.013,0.8,1,0.1,2,50,0.0,0.0,0.7801768468950682,1.5630617253075324e-05
80,80,0.7,0.7,0.05,0.013,0.6,10,0.2,1,50,0.0,0.0,0.7861331343712709,0.0
