width,height,majority_pct,density,alpha,beta,decay,vision,aversion,iteration,step_count,Avg_Maj_Grievance,Avg_Min_Grievance,Avg_Maj_Threshold,Overall_Violence_Level
80,80,0.7,0.7,0.05,0.1,0.5,1,0.2,0,50,0.0,0.0,0.9975226382483502,0.0
80,80,0.7,0.7,0.05,0.1,0.8,1,0.2,0,50,0.0,0.0,0.9975211172519988,0.0
80,80,0.7,0.7,0.05,0.1,0.7,1,0.1,1,50,0.0,0.0,0.9976000524840712,1.5642597922662995e-05
80,80,0.7,0.7,0.05,0.1,0.7,1,0.0,1,50,0.0,0.0,0.9975627918066127,0.0
80,80,0.7,0.7,0.05,0.1,0.5,1,0.3,0,50,0.0,0.0,0.9974787835534311,0.0
80,80,0.7,0.7,0.05,0.1,0.6,1,0.5,0,50,0.0,0.0,0.9975011365188741,4.693513564254201e-05
80,80,0.7,0.7,0.05,0.1,0.5,1,0.3,1,50,0.0,0.0,0.9975251769246397,1.564480045057025e-05
80,80,0.7,0.7,0.05,0.1,0.8,1,0.0,1,50,0.0,0.0,0.9975687194783479,0.0
80,80,0.7,0.7,0.05,0.1,0.8,1,0.3,1,50,0.0,0.0,0.9974732456405648,1.5630128635958674e-05
80,80,0.7,0.7,0.05,0.1,0.7,1,0.5,1,50,0.0,0.0,0.9974842456635815,1.5661707126076743e-05
80,80,0.7,0.7,0.05,0.1,0.6,1,0.3,0,50,0.0,0.0,0.9975380708740971,3.1272966084468284e-05
80,80,0.7,0.7,0.05,0.1,0.5,1,0.4,1,50,0.0,0.0,0.9975708863531102,1.5626953369171147e-05
80,80,0.7,0.7,0.05,0.1,0.8,1,0.5,0,50,0.0,0.0,0.9975115444751623,3.127638945360148e-05
80,80,0.7,0.7,0.05,0.1,0.5,1,0.5,0,50,0.0,0.0,0.9974709381885329,1.566023552994237e-05
80,80,0.7,0.7,0.05,0.1,0.5,1,0.2,1,50,0.0,0.0,0.9975399199385225,0.0
80,80,0.7,0.7,0.05,0.1,0.9,1,0.0,0,50,0.0,0.0,0.9975379145783683,0.0
80,80,0.7,0.7,0.05,0.1,0.8,1,0.1,0,50,0.0,0.0,0.9975984698179122,1.5630617253075324e-05
80,80,0.7,0.7,0.05,0.1,0.8,1,0.3,0,50,0.0,0.0,0.9975380821728683,0.0
80,80,0.7,0.7,0.05,0.1,0.5,1,0.5,1,50,0.0,0.0,0.9975203696549412,0.0
80,80,0.7,0.7,0.05,0.1,0.5,1,0.1,1,50,0.0,0.0,0.9975727313826728,0.0
80,80,0.7,0.7,0.05,0.1,0.5,1,0.0,0,50,0.0,0.0,0.997579478289695,0.0
80,80,0.7,0.7,0.05,0.1,0.6,1,0.0,1,50,0.0,0.0,0.9975749183502906,0.0
80,80,0.7,0.7,0.05,0.1,0.6,1,0.1,1,50,0.0,0.0,0.9975771085914427,0.0
80,80,0.7,0.7,0.05,0.1,0.6,1,0.0,0,50,0.0,0.0,0.9975608019495456,1.5626709171315614e-05
80,80,0.7,0.7,0.05,0.1,0.9,1,0.1,0,50,0.0,0.0,0.9975456489716177,1.5629395767559626e-05
80,80,0.7,0.7,0.05,0.1,0.7,1,0.3,1,50,0.0,0.0,0.9975224433997932,1.5634038428466457e-05
80,80,0.7,0.7,0.05,0.1,0.8,1,0.0,0,50,0.0,0.0,0.9975385583491535,0.0
80,80,0.7,0.7,0.05,0.1,0.8,1,0.2,1,50,0.0,0.0,0.9975617294593864,0.0
80,80,0.7,0.7,0.05,0.1,0.7,1,0.2,0,50,0.0,0.0,0.9975161037269625,0.0
80,80,0.7,0.7,0.05,0.1,0.7,1,0.4,0,50,0.0,0.0,0.9975086843631491,0.0
80,80,0.7,0.7,0.05,0.1,0.7,1,0.0,0,50,0.0,0.0,0.9975703648872525,0.0
80,80,0.7,0.7,0.05,0.1,0.8,1,0.1,1,50,0.0,0.0,0.997556054410436,1.563746110181551e-05
80,80,0.7,0.7,0.05,0.1,0.8,1,0.5,1,50,0.0,0.0,0.9975093482227585,1.5660480776759847e-05
80,80,0.7,0.7,0.05,0.1,0.6,1,0.5,1,50,0.0,0.0,0.9975324456846838,1.5644066205688184e-05
80,80,0.7,0.7,0.05,0.1,0.6,1,0.2,0,50,0.0,0.0,0.9975578579686929,0.0
80,80,0.7,0.7,0.05,0.1,0.5,1,0.4,0,50,0.0,0.0,0.997458967338065,0.0
80,80,0.7,0.7,0.05,0.1,0.6,1,0.4,0,50,0.0,0.0,0.9975567892537716,0.0
80,80,0.7,0.7,0.05,0.05,0.5,1,0.4,1,50,0.0,0.0,0.9664483040114705,0.0
80,80,0.7,0.7,0.05,0.1,0.9,1,0.2,0,50,0.0,0.0,0.9975293511297315,3.1280302793331036e-05
80,80,0.7,0.7,0.05,0.1,0.7,1,0.3,0,50,0.0,0.0,0.9975515810320998,0.0
80,80,0.7,0.7,0.05,0.1,0.9,1,0.3,1,50,0.0,0.0,0.9975322121687129,0.0
80,80,0.7,0.7,0.05,0.1,0.5,1,0.1,0,50,0.0,0.0,0.9975613112618208,1.562744178777934e-05
80,80,0.7,0.7,0.05,0.1,0.9,1,0.3,0,50,0.0,0.0,0.9974645279984545,4.70020524229558e-05
80,80,0.7,0.7,0.05,0.1,0.6,1,0.4,1,50,0.0,0.0,0.9974843148844542,3.1316057308384874e-05
80,80,0.7,0.7,0.05,0.1,0.5,1,0.0,1,50,0.0,0.0,0.9975346397721921,0.0
80,80,0.7,0.7,0.05,0.05,0.6,1,0.0,1,50,0.0,0.0,0.9662207178680322,0.0
80,80,0.7,0.7,0.05,0.1,0.7,1,0.4,1,50,0.0,0.0,0.9975212086849617,0.0
80,80,0.7,0.7,0.05,0.1,0.7,1,0.1,0,50,0.0,0.0,0.9975278365688852,0.0
80,80,0.7,0.7,0.05,0.1,0.8,1,0.4,1,50,0.0,0.0,0.9975048568905971,0.0
80,80,0.7,0.7,0.05,0.1,0.9,1,0.0,1,50,0.0,0.0,0.997556895800954,0.0
80,80,0.7,0.7,0.05,0.1,0.7,1,0.2,1,50,0.0,0.0,0.9975312880748891,0.0
80,80,0.7,0.7,0.05,0.05,0.8,1,0.5,0,50,0.0,0.0,0.9660233818883841,7.81934192418366e-05
80,80,0.7,0.7,0.05,0.1,0.9,1,0.4,0,50,0.0,0.0,0.9974906345932304,1.5651901706057287e-05
80,80,0.7,0.7,0.05,0.05,0.8,1,0.0,1,50,0.0,0.0,0.9662683834131198,0.0
80,80,0.7,0.7,0.05,0.1,0.6,1,0.3,1,50,0.0,0.0,0.9975235467454604,0.0
80,80,0.7,0.7,0.05,0.1,0.7,1,0.5,0,50,0.0,0.0,0.9974621144340343,6.261838788960378e-05
80,80,0.7,0.7,0.05,0.05,0.9,1,0.0,0,50,0.0,0.0,0.9656659514092008,1.5625e-05
80,80,0.7,0.7,0.05,0.1,0.6,1,0.1,0,50,0.0,0.0,0.9975183346627955,1.5629395767559626e-05
80,80,0.7,0.7,0.05,0.05,0.7,1,0.1,1,50,0.0,0.0,0.9660925557489073,0.0
80,80,0.7,0.7,0.05,0.05,0.9,1,0.2,1,50,0.0,0.0,0.9658032814261815,0.0
80,80,0.7,0.7,0.05,0.1,0.9,1,0.1,1,50,0.0,0.0,0.9975410757246672,0.0
80,80,0.7,0.7,0.05,0.05,0.9,1,0.5,0,50,0.0,0.0,0.965679220563835,1.5655332206149415e-05
80,80,0.7,0.7,0.05,0.1,0.6,1,0.2,1,50,0.0,0.0,0.997566508933014,0.0
80,80,0.7,0.7,0.05,0.1,0.9,1,0.5,1,50,0.0,0.0,0.9975093656308142,4.697187950147179e-05
80,80,0.7,0.7,0.05,0.05,0.7,1,0.1,0,50,0.0,0.0,0.9659895967350446,0.0
80,80,0.7,0.7,0.05,0.1,0.9,1,0.5,0,50,0.0,0.0,0.9974218815359308,1.5661461840848223e-05
80,80,0.7,0.7,0.05,0.05,0.8,1,0.2,1,50,0.0,0.0,0.9659128481491749,0.0
80,80,0.7,0.7,0.05,0.05,0.8,1,0.1,1,50,0.0,0.0,0.9660018716207728,0.0
80,80,0.7,0.7,0.05,0.05,0.5,1,0.1,1,50,0.0,0.0,0.9670456598842032,0.0
80,80,0.7,0.7,0.05,0.05,0.7,1,0.4,0,50,0.0,0.0,0.9658854452748589,1.56816007778074e-05
80,80,0.7,0.7,0.05,0.05,0.9,1,0.2,0,50,0.0,0.0,0.9660643968858923,0.0
80,80,0.7,0.7,0.05,0.1,0.8,1,0.4,0,50,0.0,0.0,0.9974822099751621,0.0
80,80,0.7,0.7,0.05,0.05,0.8,1,0.2,0,50,0.0,0.0,0.9660216648835204,0.0
80,80,0.7,0.7,0.05,0.05,0.9,1,0.1,1,50,0.0,0.0,0.9662944725122782,0.0
80,80,0.7,0.7,0.05,0.05,0.9,1,0.4,1,50,0.0,0.0,0.9660192649739088,1.563966218329684e-05
80,80,0.7,0.7,0.05,0.05,0.8,1,0.3,0,50,0.0,0.0,0.9663557203371776,0.0
80,80,0.7,0.7,0.05,0.05,0.6,1,0.3,1,50,0.0,0.0,0.9663379863182086,4.691531785127844e-05
80,80,0.7,0.7,0.05,0.0125,0.5,1,0.1,1,50,0.0,0.0,0.7779135931396786,3.129645567639465e-05
80,80,0.7,0.7,0.05,0.05,0.8,1,0.3,1,50,0.0,0.0,0.9667665771059638,3.125683743318851e-05
80,80,0.7,0.7,0.05,0.05,0.6,1,0.0,0,50,0.0,0.0,0.9664575590703938,1.5636483042234142e-05
80,80,0.7,0.7,0.05,0.05,0.8,1,0.4,1,50,0.0,0.0,0.9664017435234432,1.564920736764683e-05
80,80,0.7,0.7,0.05,0.1,0.9,1,0.2,1,50,0.0,0.0,0.9975644096484855,3.126612159394688e-05
